"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP6A","of which: Re-export ","P58","Publishing services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,310,,
"NLD","Netherlands","UP2Z45","P2, Wholesale and retail trade and repair of motor vehicles and motorcycles","P19","Coke and refined petroleum products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,124,,
"NLD","Netherlands","UP2Z78","P2, Employment activities  ","P01","Products of agriculture, hunting and related services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZF","P2, Construction","P72","Scientific research and development services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZA","P2, Agriculture, forestry and fishing","P69_70","Legal, accounting, head offices services, management consultancy serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,458,,
"NLD","Netherlands","UP5","Gross Capital formation","P79","Travel agency, tour operator & other reservation services & related serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z86","P2, Human health activities","P95","Repair services of computers and personal and household goods","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7,,
"NLD","Netherlands","UP2ZTOT","Intermediate consumption (P2), Total activity","P90_92","Creative, arts, entmnt, library, museum, other cult. serv., gambling serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2814,,
"NLD","Netherlands","UTOT","Total use ","P46","Wholesale trade services, except of motor vehicles and motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,12774,,
"NLD","Netherlands","UP2Z27","P2, Manufacture of electrical equipment ","PH","Transportation and storage services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,57,,
"NLD","Netherlands","UP2ZC","P2, Manufacturing","P02","Products of forestry, logging and related services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,142,,
"NLD","Netherlands","UP2ZN","P2, Administrative and support service activities","P96","Other personal services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,65,,
"NLD","Netherlands","UP2Z93","P2, Sports activities and amusement and recreation activities ","P74_75","Other professional, scientific and tech. services and veterinary services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,18,,
"NLD","Netherlands","UP2Z73","P2, Advertising and market research  ","P30","Other transport equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP3S15","Final consumption expenditure by NIPSH","PH","Transportation and storage services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZT","P2, Act. of HH as employers, undif. G&S-producing activities of HH for own","P96","Other personal services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z87_88","P2, Residential care and social work activities ","P36","Natural water, water treatment and supply services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,33,,
"NLD","Netherlands","UP2ZL","P2, Real estate activities ","P68A","Imputed rents of owner-occupied dwellings","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP3","Final consumption expenditure","PG","Wholesale&retail trade serv., repair serv. of motor vehicles & motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,5141,,
"NLD","Netherlands","UP3S14","Final consumption expenditure by households, domestic concept ","P10_12","Food, beverages and tobacco products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,45973,,
"NLD","Netherlands","UP2Z37_39","P2, Sewerage, waste collection and management services  ","P21","Basic pharmaceutical products and pharmaceutical preparations","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZB","P2, Mining and quarrying","P16","Wood & prod. of wood & cork, exc. furniture, of straw & plaiting materials","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6,,
"NLD","Netherlands","UP2Z72","P2, Scientific research and development ","P59_60","Audiovisual and broadcasting services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z90_92","P2, Arts, cultural activities, gambling and betting activities","PR","Arts, entertainment and recreation services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1451,,
"NLD","Netherlands","UP2Z61","P2, Telecommunications","P79","Travel agency, tour operator & other reservation services & related serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP6A","of which: Re-export ","P31_32","Furniture and other manufactured goods","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,16045,,
"NLD","Netherlands","UP2ZS","P2, Other service activities","P20","Chemicals and chemical products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,389,,
"NLD","Netherlands","UP2Z66","P2, Activities auxiliary to financial service and insurance activities","P73","Advertising and market research services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,166,,
"NLD","Netherlands","UP2ZI","P2, Accommodation and food service activities","P21","Basic pharmaceutical products and pharmaceutical preparations","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZK","P2, Financial and insurance activities","P59_60","Audiovisual and broadcasting services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z53","P2, Postal and courier activities","PR","Arts, entertainment and recreation services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3,,
"NLD","Netherlands","UP2Z31_32","P2, Manufacture of furniture, other manufacturing","P73","Advertising and market research services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,45,,
"NLD","Netherlands","UP2Z30","P2, Manufacture of other transport equipment ","P31_32","Furniture and other manufactured goods","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,56,,
"NLD","Netherlands","UP2Z73","P2, Advertising and market research  ","P68A","Imputed rents of owner-occupied dwellings","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
