LOCATION,Country,TRANSACT,Transaction,ACTIVITY,Activity,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,SP1,Output at basic prices  ,ZH,Transportation and storage,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,85790,,
NLD,Netherlands,SP1,Output at basic prices  ,Z68A,Imputed rents of owner-occupied dwellings,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,49783,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z71,"Architectural and engineering activities, technical testing & analysis",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,108,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZQ,Human health and social work activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,91151,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZD,"Electricity, gas, steam and air conditioning supply",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,1439,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z17,Manufacture of paper and paper products,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP1,Output at basic prices  ,Z69_70,"Legal, accounting, head offices, management consultancy activities",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,82292,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z21,Manufacture of basic pharmaceutical products and preparations,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,23,,
NLD,Netherlands,SP1,Output at basic prices  ,Z37_39,"Sewerage, waste collection and management services",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,10014,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z77,Rental and leasing activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z29,"Manufacture of motor vehicles, trailers and semi-trailers",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,75,,
